result_ID,student_ID,student_name,unit_ID,marks,grade
RES0001,SCT211-0001/2023,Lisa Mcdonald,UNIT001,43.33,D
RES0002,SCT211-0001/2023,Lisa Mcdonald,UNIT002,43.14,D
RES0003,SCT211-0001/2023,Lisa Mcdonald,UNIT003,69.61,B
RES0004,SCT211-0001/2023,Lisa Mcdonald,UNIT004,77.1,A
RES0005,SCT211-0001/2023,Lisa Mcdonald,UNIT005,61.42,B
RES0006,SCT211-0001/2023,Lisa Mcdonald,UNIT006,73.73,A
RES0007,SCT211-0002/2024,Daniel Kim,UNIT001,51.95,C
RES0008,SCT211-0002/2024,Daniel Kim,UNIT002,78.71,A
RES0009,SCT211-0002/2024,Daniel Kim,UNIT003,89.82,A
RES0010,SCT211-0002/2024,Daniel Kim,UNIT004,94.52,A
RES0011,SCT211-0002/2024,Daniel Kim,UNIT005,89.27,A
RES0012,SCT211-0002/2024,Daniel Kim,UNIT006,44.68,D
RES0013,SCT211-0003/2022,Jacob Tate,UNIT001,85.58,A
RES0014,SCT211-0003/2022,Jacob Tate,UNIT002,44.0,D
RES0015,SCT211-0003/2022,Jacob Tate,UNIT003,62.78,B
RES0016,SCT211-0003/2022,Jacob Tate,UNIT004,78.68,A
RES0017,SCT211-0003/2022,Jacob Tate,UNIT005,94.11,A
RES0018,SCT211-0003/2022,Jacob Tate,UNIT006,71.07,A
RES0019,SCT211-0004/2022,Kimberly Wall,UNIT001,74.16,A
RES0020,SCT211-0004/2022,Kimberly Wall,UNIT002,68.28,B
RES0021,SCT211-0004/2022,Kimberly Wall,UNIT003,52.08,C
RES0022,SCT211-0004/2022,Kimberly Wall,UNIT004,59.62,C
RES0023,SCT211-0004/2022,Kimberly Wall,UNIT005,94.53,A
RES0024,SCT211-0004/2022,Kimberly Wall,UNIT006,66.54,B
RES0025,SCT211-0005/2023,Richard Cuevas,UNIT001,58.24,C
RES0026,SCT211-0005/2023,Richard Cuevas,UNIT002,63.82,B
RES0027,SCT211-0005/2023,Richard Cuevas,UNIT003,85.45,A
RES0028,SCT211-0005/2023,Richard Cuevas,UNIT004,62.33,B
RES0029,SCT211-0005/2023,Richard Cuevas,UNIT005,60.79,B
RES0030,SCT211-0005/2023,Richard Cuevas,UNIT006,89.87,A
RES0031,SCT211-0006/2024,Darren Harper,UNIT001,65.59,B
RES0032,SCT211-0006/2024,Darren Harper,UNIT002,59.74,C
RES0033,SCT211-0006/2024,Darren Harper,UNIT003,86.81,A
RES0034,SCT211-0006/2024,Darren Harper,UNIT004,85.88,A
RES0035,SCT211-0006/2024,Darren Harper,UNIT005,77.7,A
RES0036,SCT211-0006/2024,Darren Harper,UNIT006,79.98,A
RES0037,SCT211-0007/2022,Robert Meyer,UNIT001,54.78,C
RES0038,SCT211-0007/2022,Robert Meyer,UNIT002,99.66,A
RES0039,SCT211-0007/2022,Robert Meyer,UNIT003,63.49,B
RES0040,SCT211-0007/2022,Robert Meyer,UNIT004,83.61,A
RES0041,SCT211-0007/2022,Robert Meyer,UNIT005,59.81,C
RES0042,SCT211-0007/2022,Robert Meyer,UNIT006,77.14,A
RES0043,SCT211-0008/2022,Ricky Lee,UNIT001,87.04,A
RES0044,SCT211-0008/2022,Ricky Lee,UNIT002,74.27,A
RES0045,SCT211-0008/2022,Ricky Lee,UNIT003,87.49,A
RES0046,SCT211-0008/2022,Ricky Lee,UNIT004,70.9,A
RES0047,SCT211-0008/2022,Ricky Lee,UNIT005,77.69,A
RES0048,SCT211-0008/2022,Ricky Lee,UNIT006,81.7,A
RES0049,SCT211-0009/2021,Scott Carey,UNIT001,47.95,D
RES0050,SCT211-0009/2021,Scott Carey,UNIT002,80.29,A
RES0051,SCT211-0009/2021,Scott Carey,UNIT003,47.44,D
RES0052,SCT211-0009/2021,Scott Carey,UNIT004,41.41,D
RES0053,SCT211-0009/2021,Scott Carey,UNIT005,92.84,A
RES0054,SCT211-0009/2021,Scott Carey,UNIT006,58.34,C
RES0055,SCT211-0010/2023,Angela Thompson,UNIT001,80.33,A
RES0056,SCT211-0010/2023,Angela Thompson,UNIT002,60.7,B
RES0057,SCT211-0010/2023,Angela Thompson,UNIT003,62.85,B
RES0058,SCT211-0010/2023,Angela Thompson,UNIT004,46.75,D
RES0059,SCT211-0010/2023,Angela Thompson,UNIT005,64.81,B
RES0060,SCT211-0010/2023,Angela Thompson,UNIT006,44.73,D
RES0061,SCT211-0011/2021,Tamara Thompson,UNIT001,76.98,A
RES0062,SCT211-0011/2021,Tamara Thompson,UNIT002,86.07,A
RES0063,SCT211-0011/2021,Tamara Thompson,UNIT003,54.41,C
RES0064,SCT211-0011/2021,Tamara Thompson,UNIT004,92.25,A
RES0065,SCT211-0011/2021,Tamara Thompson,UNIT005,86.36,A
RES0066,SCT211-0011/2021,Tamara Thompson,UNIT006,47.63,D
RES0067,SCT211-0012/2024,Alexandria Reeves,UNIT001,55.03,C
RES0068,SCT211-0012/2024,Alexandria Reeves,UNIT002,81.85,A
RES0069,SCT211-0012/2024,Alexandria Reeves,UNIT003,99.63,A
RES0070,SCT211-0012/2024,Alexandria Reeves,UNIT004,83.19,A
RES0071,SCT211-0012/2024,Alexandria Reeves,UNIT005,66.23,B
RES0072,SCT211-0012/2024,Alexandria Reeves,UNIT006,44.47,D
RES0073,SCT211-0013/2021,Heather Young,UNIT001,57.89,C
RES0074,SCT211-0013/2021,Heather Young,UNIT002,54.26,C
RES0075,SCT211-0013/2021,Heather Young,UNIT003,67.18,B
RES0076,SCT211-0013/2021,Heather Young,UNIT004,81.94,A
RES0077,SCT211-0013/2021,Heather Young,UNIT005,52.43,C
RES0078,SCT211-0013/2021,Heather Young,UNIT006,98.6,A
RES0079,SCT211-0014/2023,Vincent Lutz,UNIT001,49.94,D
RES0080,SCT211-0014/2023,Vincent Lutz,UNIT002,70.12,A
RES0081,SCT211-0014/2023,Vincent Lutz,UNIT003,65.86,B
RES0082,SCT211-0014/2023,Vincent Lutz,UNIT004,64.52,B
RES0083,SCT211-0014/2023,Vincent Lutz,UNIT005,53.44,C
RES0084,SCT211-0014/2023,Vincent Lutz,UNIT006,78.0,A
RES0085,SCT211-0015/2024,Monica Sanchez,UNIT001,95.73,A
RES0086,SCT211-0015/2024,Monica Sanchez,UNIT002,79.97,A
RES0087,SCT211-0015/2024,Monica Sanchez,UNIT003,78.01,A
RES0088,SCT211-0015/2024,Monica Sanchez,UNIT004,40.47,D
RES0089,SCT211-0015/2024,Monica Sanchez,UNIT005,58.32,C
RES0090,SCT211-0015/2024,Monica Sanchez,UNIT006,61.31,B
RES0091,SCT211-0016/2021,Edward Burch,UNIT001,81.43,A
RES0092,SCT211-0016/2021,Edward Burch,UNIT002,48.08,D
RES0093,SCT211-0016/2021,Edward Burch,UNIT003,51.91,C
RES0094,SCT211-0016/2021,Edward Burch,UNIT004,68.7,B
RES0095,SCT211-0016/2021,Edward Burch,UNIT005,74.83,A
RES0096,SCT211-0016/2021,Edward Burch,UNIT006,90.67,A
