registration_ID,student_ID,student_name,unit_ID,registration_date
REG0001,SCT211-0001/2023,Lisa Mcdonald,UNIT006,2023-07-18
REG0002,SCT211-0001/2023,Lisa Mcdonald,UNIT001,2023-01-11
REG0003,SCT211-0001/2023,Lisa Mcdonald,UNIT005,2023-08-21
REG0004,SCT211-0002/2024,Daniel Kim,UNIT002,2023-04-21
REG0005,SCT211-0002/2024,Daniel Kim,UNIT006,2022-09-20
REG0006,SCT211-0002/2024,Daniel Kim,UNIT005,2024-07-10
REG0007,SCT211-0003/2022,Jacob Tate,UNIT005,2024-09-23
REG0008,SCT211-0003/2022,Jacob Tate,UNIT001,2022-12-05
REG0009,SCT211-0003/2022,Jacob Tate,UNIT003,2024-05-25
REG0010,SCT211-0004/2022,Kimberly Wall,UNIT002,2023-09-13
REG0011,SCT211-0004/2022,Kimberly Wall,UNIT003,2023-10-16
REG0012,SCT211-0004/2022,Kimberly Wall,UNIT005,2022-11-02
REG0013,SCT211-0005/2023,Richard Cuevas,UNIT004,2022-09-04
REG0014,SCT211-0005/2023,Richard Cuevas,UNIT002,2022-09-02
REG0015,SCT211-0005/2023,Richard Cuevas,UNIT001,2023-12-16
REG0016,SCT211-0006/2024,Darren Harper,UNIT005,2023-07-22
REG0017,SCT211-0006/2024,Darren Harper,UNIT004,2023-10-15
REG0018,SCT211-0006/2024,Darren Harper,UNIT002,2022-02-07
REG0019,SCT211-0007/2022,Robert Meyer,UNIT004,2024-03-05
REG0020,SCT211-0007/2022,Robert Meyer,UNIT001,2023-04-08
REG0021,SCT211-0007/2022,Robert Meyer,UNIT003,2022-03-24
REG0022,SCT211-0008/2022,Ricky Lee,UNIT006,2024-04-15
REG0023,SCT211-0008/2022,Ricky Lee,UNIT003,2023-12-12
REG0024,SCT211-0008/2022,Ricky Lee,UNIT004,2022-08-20
REG0025,SCT211-0009/2021,Scott Carey,UNIT002,2022-08-16
REG0026,SCT211-0009/2021,Scott Carey,UNIT003,2022-12-15
REG0027,SCT211-0009/2021,Scott Carey,UNIT006,2022-08-17
REG0028,SCT211-0010/2023,Angela Thompson,UNIT002,2023-06-18
REG0029,SCT211-0010/2023,Angela Thompson,UNIT005,2022-05-21
REG0030,SCT211-0010/2023,Angela Thompson,UNIT004,2022-11-24
REG0031,SCT211-0011/2021,Tamara Thompson,UNIT002,2024-10-03
REG0032,SCT211-0011/2021,Tamara Thompson,UNIT006,2023-05-25
REG0033,SCT211-0011/2021,Tamara Thompson,UNIT001,2023-08-07
REG0034,SCT211-0012/2024,Alexandria Reeves,UNIT006,2022-11-10
REG0035,SCT211-0012/2024,Alexandria Reeves,UNIT005,2023-10-05
REG0036,SCT211-0012/2024,Alexandria Reeves,UNIT004,2024-07-16
REG0037,SCT211-0013/2021,Heather Young,UNIT006,2022-10-02
REG0038,SCT211-0013/2021,Heather Young,UNIT001,2024-05-19
REG0039,SCT211-0013/2021,Heather Young,UNIT002,2023-03-22
REG0040,SCT211-0014/2023,Vincent Lutz,UNIT005,2023-01-11
REG0041,SCT211-0014/2023,Vincent Lutz,UNIT002,2023-10-21
REG0042,SCT211-0014/2023,Vincent Lutz,UNIT006,2024-08-05
REG0043,SCT211-0015/2024,Monica Sanchez,UNIT002,2022-06-27
REG0044,SCT211-0015/2024,Monica Sanchez,UNIT005,2022-01-11
REG0045,SCT211-0015/2024,Monica Sanchez,UNIT006,2022-11-01
REG0046,SCT211-0016/2021,Edward Burch,UNIT006,2023-02-16
REG0047,SCT211-0016/2021,Edward Burch,UNIT005,2022-05-17
REG0048,SCT211-0016/2021,Edward Burch,UNIT003,2023-12-10
REG0049,SCT211-0017/2023,Ashlee Mosley,UNIT006,2024-02-02
REG0050,SCT211-0017/2023,Ashlee Mosley,UNIT002,2022-04-05
REG0051,SCT211-0017/2023,Ashlee Mosley,UNIT001,2023-04-08
REG0052,SCT211-0018/2024,Andrew Shields,UNIT004,2023-11-20
REG0053,SCT211-0018/2024,Andrew Shields,UNIT002,2023-08-23
REG0054,SCT211-0018/2024,Andrew Shields,UNIT006,2022-09-21
REG0055,SCT211-0019/2022,Jason Griffin,UNIT003,2024-03-29
REG0056,SCT211-0019/2022,Jason Griffin,UNIT001,2024-07-17
REG0057,SCT211-0019/2022,Jason Griffin,UNIT004,2023-05-20
REG0058,SCT211-0020/2023,Andre Ellis,UNIT001,2024-02-03
REG0059,SCT211-0020/2023,Andre Ellis,UNIT002,2024-08-07
REG0060,SCT211-0020/2023,Andre Ellis,UNIT003,2024-10-22
REG0061,SCT211-0021/2024,Kaitlin Ramirez,UNIT001,2023-10-19
REG0062,SCT211-0021/2024,Kaitlin Ramirez,UNIT006,2023-06-18
REG0063,SCT211-0021/2024,Kaitlin Ramirez,UNIT002,2022-11-21
REG0064,SCT211-0022/2023,Jeffrey Hernandez,UNIT004,2023-07-31
REG0065,SCT211-0022/2023,Jeffrey Hernandez,UNIT002,2023-10-14
REG0066,SCT211-0022/2023,Jeffrey Hernandez,UNIT006,2023-01-09
REG0067,SCT211-0023/2024,Dominic Gallagher,UNIT002,2024-10-11
REG0068,SCT211-0023/2024,Dominic Gallagher,UNIT003,2023-12-28
REG0069,SCT211-0023/2024,Dominic Gallagher,UNIT004,2024-11-21
REG0070,SCT211-0024/2023,Joseph Yates,UNIT002,2022-06-02
REG0071,SCT211-0024/2023,Joseph Yates,UNIT003,2022-04-02
REG0072,SCT211-0024/2023,Joseph Yates,UNIT006,2023-09-16
REG0073,SCT211-0025/2024,Kimberly Jones,UNIT006,2023-04-30
REG0074,SCT211-0025/2024,Kimberly Jones,UNIT003,2022-09-05
REG0075,SCT211-0025/2024,Kimberly Jones,UNIT004,2023-06-06
REG0076,SCT211-0026/2023,Jennifer Gregory,UNIT006,2022-04-08
REG0077,SCT211-0026/2023,Jennifer Gregory,UNIT003,2024-03-25
REG0078,SCT211-0026/2023,Jennifer Gregory,UNIT002,2023-11-04
REG0079,SCT211-0027/2023,Melissa Cruz,UNIT003,2023-07-12
REG0080,SCT211-0027/2023,Melissa Cruz,UNIT001,2023-01-30
REG0081,SCT211-0027/2023,Melissa Cruz,UNIT005,2022-08-15
REG0082,SCT211-0028/2023,Robert Stewart,UNIT002,2024-10-15
REG0083,SCT211-0028/2023,Robert Stewart,UNIT005,2023-05-12
REG0084,SCT211-0028/2023,Robert Stewart,UNIT001,2023-04-23
REG0085,SCT211-0029/2024,Brenda Pierce,UNIT002,2022-08-09
REG0086,SCT211-0029/2024,Brenda Pierce,UNIT005,2022-05-14
REG0087,SCT211-0029/2024,Brenda Pierce,UNIT001,2023-02-16
REG0088,SCT211-0030/2023,Charlene Taylor,UNIT001,2023-11-21
REG0089,SCT211-0030/2023,Charlene Taylor,UNIT003,2024-04-04
REG0090,SCT211-0030/2023,Charlene Taylor,UNIT004,2024-12-31
REG0091,SCT211-0031/2024,Mary Gilbert,UNIT005,2023-06-20
REG0092,SCT211-0031/2024,Mary Gilbert,UNIT003,2023-01-20
REG0093,SCT211-0031/2024,Mary Gilbert,UNIT006,2023-08-16
REG0094,SCT211-0032/2022,Brianna Rodriguez,UNIT004,2024-10-24
REG0095,SCT211-0032/2022,Brianna Rodriguez,UNIT001,2022-07-12
REG0096,SCT211-0032/2022,Brianna Rodriguez,UNIT005,2023-02-20
REG0097,SCT211-0033/2024,Debra Kim,UNIT004,2024-05-25
REG0098,SCT211-0033/2024,Debra Kim,UNIT006,2022-09-03
REG0099,SCT211-0033/2024,Debra Kim,UNIT002,2024-09-21
REG0100,SCT211-0034/2023,Richard Williams,UNIT003,2022-05-29
REG0101,SCT211-0034/2023,Richard Williams,UNIT005,2023-01-02
REG0102,SCT211-0034/2023,Richard Williams,UNIT001,2024-07-19
REG0103,SCT211-0035/2023,Amanda Beard,UNIT004,2023-09-25
REG0104,SCT211-0035/2023,Amanda Beard,UNIT006,2022-08-15
