student_ID,student_name,gender,enrollment_date,course_ID
SCT211-0001/2023,Lisa Mcdonald,Other,2024-07-01,SE001
SCT211-0002/2024,Daniel Kim,Other,2025-01-07,IT001
SCT211-0003/2022,Jacob Tate,Female,2024-02-06,CS001
SCT211-0004/2022,Kimberly Wall,Female,2024-02-08,CS001
SCT211-0005/2023,Richard Cuevas,Male,2024-08-06,AFT2202
SCT211-0006/2024,Darren Harper,Female,2025-01-07,BCT2101
SCT211-0007/2022,Robert Meyer,Female,2023-09-26,AFT2202
SCT211-0008/2022,Ricky Lee,Other,2024-04-16,CS001
SCT211-0009/2021,Scott Carey,Other,2023-08-15,PMI2203
SCT211-0010/2023,Angela Thompson,Male,2024-05-09,PMI2203
SCT211-0011/2021,Tamara Thompson,Female,2022-07-09,CS001
SCT211-0012/2024,Alexandria Reeves,Male,2025-01-07,SE001
SCT211-0013/2021,Heather Young,Male,2024-11-11,BCT2101
SCT211-0014/2023,Vincent Lutz,Other,2024-12-23,CS001
SCT211-0015/2024,Monica Sanchez,Other,2025-01-07,IT001
SCT211-0016/2021,Edward Burch,Other,2023-01-29,PMI2203
SCT211-0017/2023,Ashlee Mosley,Other,2024-05-15,SE001
SCT211-0018/2024,Andrew Shields,Male,2025-01-07,PMI2203
SCT211-0019/2022,Jason Griffin,Male,2024-03-29,SE001
SCT211-0020/2023,Andre Ellis,Other,2024-06-05,IT001
SCT211-0021/2024,Kaitlin Ramirez,Male,2025-01-07,AFT2202
SCT211-0022/2023,Jeffrey Hernandez,Male,2024-05-16,CS001
SCT211-0023/2024,Dominic Gallagher,Male,2025-01-07,PMI2203
SCT211-0024/2023,Joseph Yates,Female,2024-09-24,BCT2101
SCT211-0025/2024,Kimberly Jones,Female,2025-01-07,BCT2101
SCT211-0026/2023,Jennifer Gregory,Other,2024-11-21,SE001
SCT211-0027/2023,Melissa Cruz,Male,2024-10-13,CS001
SCT211-0028/2023,Robert Stewart,Female,2024-09-19,AFT2202
SCT211-0029/2024,Brenda Pierce,Female,2025-01-07,BCT2101
SCT211-0030/2023,Charlene Taylor,Female,2024-03-15,CS001
SCT211-0031/2024,Mary Gilbert,Female,2025-01-07,IT001
SCT211-0032/2022,Brianna Rodriguez,Male,2024-04-04,SE001
SCT211-0033/2024,Debra Kim,Male,2025-01-07,CS001
SCT211-0034/2023,Richard Williams,Male,2024-03-20,IT001
SCT211-0035/2023,Amanda Beard,Other,2024-09-04,AFT2202
SCT211-0036/2021,Courtney Robles,Other,2023-07-29,IT001
SCT211-0037/2022,Alex Jones,Female,2023-04-12,PMI2203
SCT211-0038/2021,Derek Mayo,Male,2024-10-22,BCT2101
SCT211-0039/2022,Cynthia Avila,Female,2024-04-20,PMI2203
SCT211-0040/2021,William Smith,Female,2022-10-15,AFT2202
SCT211-0041/2022,Samuel Luna,Male,2024-03-06,PMI2203
SCT211-0042/2021,Raymond Nelson,Other,2024-02-10,BCT2101
SCT211-0043/2021,Mr. Jacob Moyer,Female,2024-08-24,CS001
SCT211-0044/2021,Laurie Campos,Male,2022-10-17,AFT2202
SCT211-0045/2024,Edward Robinson,Male,2025-01-07,IT001
SCT211-0046/2023,Charles Gomez,Female,2024-04-30,IT001
SCT211-0047/2021,Austin Collins,Female,2022-11-02,SE001
SCT211-0048/2022,Kristina Miller,Female,2024-10-28,BCT2101
SCT211-0049/2021,Joseph Campbell,Female,2024-06-19,PMI2203
SCT211-0050/2023,Melinda Fisher,Other,2024-08-27,BCT2101
SCT211-0051/2024,Scott Wilson,Other,2025-01-07,IT001
SCT211-0052/2023,Gerald Weber,Other,2024-07-15,IT001
SCT211-0053/2023,Laura Castillo,Male,2024-12-25,PMI2203
SCT211-0054/2024,Crystal Page,Other,2025-01-07,AFT2202
SCT211-0055/2021,Nicholas Gibson,Male,2022-02-25,SE001
SCT211-0056/2021,Ryan Reyes,Male,2024-02-12,PMI2203
SCT211-0057/2024,Joseph Benitez,Other,2025-01-07,AFT2202
SCT211-0058/2021,John Hancock,Female,2024-03-04,BCT2101
SCT211-0059/2022,Jeremiah Davenport,Male,2023-11-27,BCT2101
SCT211-0060/2022,Douglas Roberts,Other,2023-01-16,BCT2101
SCT211-0061/2024,Emily Williams,Male,2025-01-07,CS001
SCT211-0062/2023,Lauren Brooks,Female,2024-12-03,CS001
SCT211-0063/2022,Charlene Washington,Other,2024-03-27,AFT2202
